nameWithOwner,url,createdAt,stargazers,pullRequests
rust-lang/rust,https://github.com/rust-lang/rust,2010-06-16T20:39:03Z,65501,52063
gothinkster/realworld,https://github.com/gothinkster/realworld,2016-02-26T20:49:53Z,65249,305
trimstray/the-book-of-secret-knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,65029,190
vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,2015-10-20T00:16:14Z,64626,3624
Genymobile/scrcpy,https://github.com/Genymobile/scrcpy,2017-11-21T18:00:27Z,63819,270
django/django,https://github.com/django/django,2012-04-28T02:47:18Z,63428,15394
bitcoin/bitcoin,https://github.com/bitcoin/bitcoin,2010-12-19T15:16:43Z,63294,16785
tonsky/FiraCode,https://github.com/tonsky/FiraCode,2014-11-11T19:32:38Z,63128,161
moby/moby,https://github.com/moby/moby,2013-01-18T18:10:57Z,62778,21734
doocs/advanced-java,https://github.com/doocs/advanced-java,2018-10-06T11:38:30Z,62183,103
huggingface/transformers,https://github.com/huggingface/transformers,2018-10-29T13:56:00Z,60944,7477
opencv/opencv,https://github.com/opencv/opencv,2012-07-19T09:40:17Z,60884,12873
webpack/webpack,https://github.com/webpack/webpack,2012-03-10T10:08:14Z,60841,5542
typicode/json-server,https://github.com/typicode/json-server,2013-11-27T13:21:13Z,60600,234
spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,60585,5149
angular/angular.js,https://github.com/angular/angular.js,2010-01-06T00:34:37Z,59495,7922
hakimel/reveal.js,https://github.com/hakimel/reveal.js,2011-06-07T18:54:22Z,59356,875
apple/swift,https://github.com/apple/swift,2015-10-23T21:15:07Z,59243,41676
elastic/elasticsearch,https://github.com/elastic/elasticsearch,2010-02-08T13:20:56Z,59175,55523
thedaviddias/Front-End-Checklist,https://github.com/thedaviddias/Front-End-Checklist,2017-10-16T10:12:36Z,58938,280
netdata/netdata,https://github.com/netdata/netdata,2013-06-17T18:39:10Z,58828,5796
pallets/flask,https://github.com/pallets/flask,2010-04-06T11:11:59Z,58570,2141
gohugoio/hugo,https://github.com/gohugoio/hugo,2013-07-04T15:26:26Z,58244,3697
reduxjs/redux,https://github.com/reduxjs/redux,2015-05-29T23:53:15Z,57830,2275
gin-gonic/gin,https://github.com/gin-gonic/gin,2014-06-16T23:57:25Z,57497,1199
sveltejs/svelte,https://github.com/sveltejs/svelte,2016-11-20T18:13:05Z,57338,2874
atom/atom,https://github.com/atom/atom,2012-01-20T18:18:21Z,57315,5200
nvm-sh/nvm,https://github.com/nvm-sh/nvm,2010-04-15T17:47:47Z,56917,906
papers-we-love/papers-we-love,https://github.com/papers-we-love/papers-we-love,2013-12-15T14:31:41Z,56641,475
chartjs/Chart.js,https://github.com/chartjs/Chart.js,2013-03-17T23:56:36Z,56639,3376
expressjs/express,https://github.com/expressjs/express,2009-06-26T18:56:01Z,56632,1045
jquery/jquery,https://github.com/jquery/jquery,2009-04-03T15:20:14Z,56097,2734
socketio/socket.io,https://github.com/socketio/socket.io,2010-03-11T18:24:48Z,55549,801
tailwindlabs/tailwindcss,https://github.com/tailwindlabs/tailwindcss,2017-10-06T14:59:14Z,55501,1707
pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13T05:26:41Z,55274,46825
fatedier/frp,https://github.com/fatedier/frp,2015-12-21T15:24:59Z,55146,558
